,Location,Developed,Grass/Open Space,Strawberries,Field_Crops,Fruits_Vegetable_Crops,Forest/Shrubland,Wetlands,Tree_Crops
Prop2014,North Marsh,0.04,0.55,0,0,0,0.37,0.02,0
Pixel2013,North Marsh,295,5256,3,0,44,3600,339,2
Prop2013,North Marsh,0.03,0.55,0,0,0,0.38,0.04,0
Pixel2012,North Marsh,275,5338,1,0,9,3626,250,0
Prop2012,North Marsh,0.03,0.56,0,0,0,0.38,0.03,0
Pixel2011,North Marsh,330,5194,0,29,0,3305,1028,0
Prop2011,North Marsh,0.03,0.53,0,0,0,0.33,0.1,0
Pixel2010,North Marsh,316,4922,4,67,14,3652,511,61
Prop2010,North Marsh,0.03,0.52,0,0.01,0,0.38,0.05,0.01
Pixel2009,North Marsh,359,5255,13,3,2,3614,596,0
Prop2009,North Marsh,0.04,0.53,0,0,0,0.37,0.06,0
Pixel2008,North Marsh,346,5191,13,0,0,3615,526,4
Prop2008,North Marsh,0.04,0.54,0,0,0,0.37,0.05,0
Pixel2007,North Marsh,88,1455,19,2,0,1112,103,0
Prop2007,North Marsh,0.03,0.52,0.01,0,0,0.4,0.04,0
