ESNERR_StCode,Region,Date,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),Ammonia,Nitrate,Phosphate,NumCode,month,Year,dryS,Subbasin
APN,Upper Slough,9/28/1998,36.8471,-121.7545,19.29999924,35.22999954,0.219999999,0.678,0.140000001,4,9,1998,1,Azevedo Pond
APN,Upper Slough,11/2/1998,36.8471,-121.7545,17.20000076,33.56999969,0.025,0.678,0.07,4,11,1998,0,Azevedo Pond
APN,Upper Slough,1/12/1999,36.8471,-121.7545,13.30000019,34.00999832,0.025,0.904,0.039999999,4,1,1999,0,Azevedo Pond
APN,Upper Slough,2/2/1999,36.8471,-121.7545,11,29.77000046,0.189999998,0.904,0.100000001,4,2,1999,0,Azevedo Pond
APN,Upper Slough,3/1/1999,36.8471,-121.7545,14.60000038,28.79000092,0.100000001,0.904,0.090000004,4,3,1999,0,Azevedo Pond
APN,Upper Slough,3/29/1999,36.8471,-121.7545,NA,32.90306988,0.200000003,0.226,0.109999999,4,3,1999,0,Azevedo Pond
APN,Upper Slough,4/26/1999,36.8471,-121.7545,27,30.95999908,0.200000003,0.226,0.150000006,4,4,1999,0,Azevedo Pond
APN,Upper Slough,6/1/1999,36.8471,-121.7545,21.20000076,35.34999847,0.025,0.113,0.170000002,4,6,1999,1,Azevedo Pond
APN,Upper Slough,9/9/1999,36.8471,-121.7545,18.70000076,35.61000061,0.189999998,0.113,0.170000002,4,9,1999,1,Azevedo Pond
APN,Upper Slough,9/27/1999,36.8471,-121.7545,16.79999924,35.49000168,0.090000004,0.113,0.310000002,4,9,1999,1,Azevedo Pond
APN,Upper Slough,11/1/1999,36.8471,-121.7545,19.39999962,32.90000153,0.059999999,0,0.150000006,4,11,1999,0,Azevedo Pond
APN,Upper Slough,12/6/1999,36.8471,-121.7545,13.80000019,33.38999939,0.025,NA,0.079999998,4,12,1999,0,Azevedo Pond
APN,Upper Slough,1/10/2000,36.8471,-121.7545,11.30000019,33.65999985,0.025,0.904,0.209999993,4,1,2.00E+03,0,Azevedo Pond
APN,Upper Slough,2/7/2000,36.8471,-121.7545,16.60000038,28.14999962,0.119999997,0.904,0.059999999,4,2,2.00E+03,0,Azevedo Pond
APN,Upper Slough,3/7/2000,36.8471,-121.7545,11.80000019,21.23999977,0.150000006,0.904,0.119999997,4,3,2.00E+03,0,Azevedo Pond
APN,Upper Slough,4/10/2000,36.8471,-121.7545,26.29999924,30.61000061,0.109999999,0.113,0.129999995,4,4,2.00E+03,0,Azevedo Pond
APN,Upper Slough,5/8/2000,36.8471,-121.7545,19.29999924,31.62000084,0.07,0.113,0.189999998,4,5,2.00E+03,1,Azevedo Pond
APN,Upper Slough,6/12/2000,36.8471,-121.7545,22.70000076,36.4999245,0.050000001,0.113,0.100000001,4,6,2.00E+03,1,Azevedo Pond
APN,Upper Slough,7/17/2000,36.8471,-121.7545,27.89999962,38.25211098,0.209999993,0.113,0.119999997,4,7,2.00E+03,1,Azevedo Pond
APN,Upper Slough,8/14/2000,36.8471,-121.7545,20.20000076,40.2100047,0.059999999,0.113,0.200000003,4,8,2.00E+03,1,Azevedo Pond
APN,Upper Slough,9/11/2000,36.8471,-121.7545,27.39999962,37.7196941,0.150000006,0.113,0.180000007,4,9,2.00E+03,1,Azevedo Pond
APN,Upper Slough,10/16/2000,36.8471,-121.7545,19.5,34.52925625,0.109999999,NA,0.07,4,10,2.00E+03,1,Azevedo Pond
APN,Upper Slough,11/6/2000,36.8471,-121.7545,21.29999924,31.86000061,0.100000001,NA,0.119999997,4,11,2.00E+03,0,Azevedo Pond
APN,Upper Slough,12/11/2000,36.8471,-121.7545,13.09000015,33.06999969,0.059999999,0.113,0.079999998,4,12,2.00E+03,0,Azevedo Pond
APN,Upper Slough,1/8/2001,36.8471,-121.7545,13.28999996,15.27000046,0.025,0.113,0.050000001,4,1,2001,0,Azevedo Pond
APN,Upper Slough,2/5/2001,36.8471,-121.7545,18.59000015,31.90999985,0.079999998,0.113,0.07,4,2,2001,0,Azevedo Pond
APN,Upper Slough,3/13/2001,36.8471,-121.7545,19.64999962,30.01000023,0.119999997,0.113,0.100000001,4,3,2001,0,Azevedo Pond
APN,Upper Slough,4/30/2001,36.8471,-121.7545,21.45000076,36.86000061,0.109999999,0.226,0.079999998,4,4,2001,0,Azevedo Pond
APN,Upper Slough,5/29/2001,36.8471,-121.7545,17.60000038,35.74000168,0.100000001,0.113,0.07,4,5,2001,1,Azevedo Pond
APN,Upper Slough,6/25/2001,36.8471,-121.7545,22.57999992,36.08000183,0.050000001,0.113,NA,4,6,2001,1,Azevedo Pond
APN,Upper Slough,7/31/2001,36.8471,-121.7545,21.56999969,35.95000076,0.159999996,0.113,0.140000001,4,7,2001,1,Azevedo Pond
APN,Upper Slough,8/27/2001,36.8471,-121.7545,26.17000008,16.95000076,0.025,0.113,0.119999997,4,8,2001,1,Azevedo Pond
APN,Upper Slough,9/24/2001,36.8471,-121.7545,18,32,0.025,0.113,0.180000007,4,9,2001,1,Azevedo Pond
APN,Upper Slough,10/29/2001,36.8471,-121.7545,19.71999931,NA,0.100000001,0.226,0.079999998,4,10,2001,1,Azevedo Pond
APN,Upper Slough,12/18/2001,36.8471,-121.7545,13.85000038,17.94000053,0.07,0.904,0.059999999,4,12,2001,0,Azevedo Pond
APN,Upper Slough,1/28/2002,36.8471,-121.7545,11.43000031,18.12000084,0.025,0.4294,0.059999999,4,1,2002,0,Azevedo Pond
APN,Upper Slough,2/25/2002,36.8471,-121.7545,15.71000004,31.67000008,0.090000004,0.2486,0.079999998,4,2,2002,0,Azevedo Pond
APN,Upper Slough,3/26/2002,36.8471,-121.7545,16.79999924,31.84000015,0.189999998,0.3842,0.07,4,3,2002,0,Azevedo Pond
APN,Upper Slough,4/29/2002,36.8471,-121.7545,16.14999962,34.65999985,0.050000001,0.0115,0.050000001,4,4,2002,0,Azevedo Pond
APN,Upper Slough,5/20/2002,36.8471,-121.7545,19.23999977,23.22999954,0.050000001,1.1654481,0.059999999,4,5,2002,1,Azevedo Pond
APN,Upper Slough,6/17/2002,36.8471,-121.7545,27.81999969,NA,0.090000004,0.113,0.100000001,4,6,2002,1,Azevedo Pond
APN,Upper Slough,8/26/2002,36.8471,-121.7545,22.69000053,35.29999924,0.100000001,0.0452,0.07,4,8,2002,1,Azevedo Pond
APN,Upper Slough,9/23/2002,36.8471,-121.7545,22.61000061,21.98999977,0.07,0.2486,0.059999999,4,9,2002,1,Azevedo Pond
APN,Upper Slough,10/28/2002,36.8471,-121.7545,17.47999954,18.39999962,0.07,0.0226,0.039999999,4,10,2002,1,Azevedo Pond
APN,Upper Slough,1/27/2003,36.8471,-121.7545,18.95000076,15.09000015,0.219999999,0.3842,0.100000001,4,1,2003,0,Azevedo Pond
APN,Upper Slough,2/24/2003,36.8471,-121.7545,14.27000046,31.94000053,0.050000001,0.113,0.07,4,2,2003,0,Azevedo Pond
APN,Upper Slough,3/24/2003,36.8471,-121.7545,25.62000084,33.13999939,0.349999994,0.113,0.119999997,4,3,2003,0,Azevedo Pond
APN,Upper Slough,4/30/2003,36.8471,-121.7545,16.26000023,31.2,0.025,0.113,0.039999999,4,4,2003,0,Azevedo Pond
APN,Upper Slough,5/19/2003,36.8471,-121.7545,26.79999924,33.88999939,0.050000001,0.3842,0.090000004,4,5,2003,1,Azevedo Pond
APN,Upper Slough,6/30/2003,36.8471,-121.7545,27.75,36,0.059999999,0.2938,0.189999998,4,6,2003,1,Azevedo Pond
APN,Upper Slough,7/20/2003,36.8471,-121.7545,25.87000084,17.71999931,0.159999996,0.452,0.200000003,4,7,2003,1,Azevedo Pond
APN,Upper Slough,8/11/2003,36.8471,-121.7545,31.40999985,36.06999969,0.059999999,0.2486,0.119999997,4,8,2003,1,Azevedo Pond
APN,Upper Slough,10/27/2003,36.8471,-121.7545,18.79000092,16.84000015,0.07,0.113,0.050000001,4,10,2003,1,Azevedo Pond
APN,Upper Slough,12/15/2003,36.8471,-121.7545,12.63000011,30.29999924,0.059999999,0.1808,0.029999999,4,12,2003,0,Azevedo Pond
APN,Upper Slough,1/27/2004,36.8471,-121.7545,11.5,29.86000061,0.150000006,0.009,0.050000001,4,1,2004,0,Azevedo Pond
APN,Upper Slough,2/23/2004,36.8471,-121.7545,15.19999981,27.01000023,0.140000001,0.4068,0.07,4,2,2004,0,Azevedo Pond
APN,Upper Slough,3/22/2004,36.8471,-121.7545,18.18000031,15.65999985,0.050000001,0.2486,0.079999998,4,3,2004,0,Azevedo Pond
APN,Upper Slough,5/25/2004,36.8471,-121.7545,22.12000084,39.38999939,0.079999998,0,0.090000004,4,5,2004,1,Azevedo Pond
APN,Upper Slough,6/28/2004,36.8471,-121.7545,21.12000084,36.16999817,0.25,0.8136,0.07,4,6,2004,1,Azevedo Pond
APN,Upper Slough,7/19/2004,36.8471,-121.7545,30.20999908,37.20999908,0.180000007,0.452,0.170000002,4,7,2004,1,Azevedo Pond
APN,Upper Slough,8/23/2004,36.8471,-121.7545,23.67000008,35.47999954,0.05,NA,0.12,4,8,2004,1,Azevedo Pond
APN,Upper Slough,9/27/2004,36.8471,-121.7545,22.02000046,17.15999985,0.109999999,NA,0.07,4,9,2004,1,Azevedo Pond
APN,Upper Slough,11/2/2004,36.8471,-121.7545,16.22999954,31.61000061,0.079999998,0.4294,0.029999999,4,11,2004,0,Azevedo Pond
APN,Upper Slough,1/31/2005,36.8471,-121.7545,9.350000381,24.59000015,0.512,0.7684,0.151,4,1,2005,0,Azevedo Pond
APN,Upper Slough,5/25/2005,36.8471,-121.7545,18.20000076,36.28,0.08,0.0678,0.14,4,5,2005,1,Azevedo Pond
APN,Upper Slough,6/27/2005,36.8471,-121.7545,26.90999985,35.82,0.123,0.2486,0.045,4,6,2005,1,Azevedo Pond
APN,Upper Slough,7/18/2005,36.8471,-121.7545,20.86000061,34.86,0.122,0.0452,0.039,4,7,2005,1,Azevedo Pond
APN,Upper Slough,8/24/2005,36.8471,-121.7545,19.22999954,32.29,0.0842,0.1582,0.051,4,8,2005,1,Azevedo Pond
APN,Upper Slough,9/29/2005,36.8471,-121.7545,28.07999992,35.12,0.08,0.0148,0.113,4,9,2005,1,Azevedo Pond
APN,Upper Slough,11/1/2005,36.8471,-121.7545,15.27166669,32.77833333,0.073,0.05198,0.069,4,11,2005,0,Azevedo Pond
APN,Upper Slough,1/10/2006,36.8471,-121.7545,11.17999999,27.81333333,0.2675,0.007,0.1,4,1,2006,0,Azevedo Pond
APN,Upper Slough,2/7/2006,36.8471,-121.7545,11.86666679,32.96666667,0.078666667,0.026289581,0.050666667,4,2,2006,0,Azevedo Pond
APN,Upper Slough,3/7/2006,36.8471,-121.7545,12.52333355,23.71666667,0.1725,0.2712,0.099,4,3,2006,0,Azevedo Pond
APN,Upper Slough,4/4/2006,36.8471,-121.7545,14.64666653,14.33333333,0.069,0.4068,0.174,4,4,2006,0,Azevedo Pond
APN,Upper Slough,5/2/2006,36.8471,-121.7545,15.10000006,30.06,0.091666667,0.07,0.234,4,5,2006,1,Azevedo Pond
APN,Upper Slough,6/6/2006,36.8471,-121.7545,16.91666667,39.65333333,0.052,0.07,0.342,4,6,2006,1,Azevedo Pond
APN,Upper Slough,7/11/2006,36.8471,-121.7545,16.40666644,38.02,0.02,0.0075,0.105,4,7,2006,1,Azevedo Pond
APN,Upper Slough,8/1/2006,36.8471,-121.7545,16.52000046,37.8,0.0255,0.05,0.13,4,8,2006,1,Azevedo Pond
APN,Upper Slough,9/12/2006,36.8471,-121.7545,15.32999992,36.99,0.147,0.11,0.1,4,9,2006,1,Azevedo Pond
APN,Upper Slough,10/10/2006,36.8471,-121.7545,14.85999997,24.02333333,0.025,0.43,0.076,4,10,2006,1,Azevedo Pond
APN,Upper Slough,11/7/2006,36.8471,-121.7545,20.19999981,31.24,0.033,0.07,0.0405,4,11,2006,0,Azevedo Pond
APN,Upper Slough,12/4/2006,36.8471,-121.7545,11.03499985,60.095,0.049666667,0.11,0.015,4,12,2006,0,Azevedo Pond
APN,Upper Slough,2/6/2007,36.8471,-121.7545,16.88666598,32.7,0.077,0.068,0.052,4,2,2007,0,Azevedo Pond
APN,Upper Slough,3/5/2007,36.8471,-121.7545,22.01000023,25.76,0.0965,0.452,0.0485,4,3,2007,0,Azevedo Pond
APN,Upper Slough,5/7/2007,36.8471,-121.7545,22.55999947,36.53,0.143,0.002,0.158,4,5,2007,1,Azevedo Pond
APN,Upper Slough,7/10/2007,36.8471,-121.7545,27.29999924,35.205,0.032,NA,0.095,4,7,2007,1,Azevedo Pond
APN,Upper Slough,8/14/2007,36.8471,-121.7545,29.30499967,35.20333333,0.020333333,NA,0.026,4,8,2007,1,Azevedo Pond
APN,Upper Slough,9/11/2007,36.8471,-121.7545,29.39666621,34.65666667,0.0555,NA,0.064,4,9,2007,1,Azevedo Pond
APN,Upper Slough,10/9/2007,36.8471,-121.7545,23.30666606,32.44333333,0.017,NA,0.0435,4,10,2007,1,Azevedo Pond
APN,Upper Slough,1/8/2008,36.8471,-121.7545,9.75,25.7,0.0725,NA,0.0465,4,1,2008,0,Azevedo Pond
APN,Upper Slough,3/4/2008,36.8471,-121.7545,22.27000046,25.7,0.147,NA,0.112,4,3,2008,0,Azevedo Pond
APN,Upper Slough,4/15/2008,36.8471,-121.7545,19.86000061,36.48,0.055,NA,0.0835,4,4,2008,0,Azevedo Pond
APN,Upper Slough,6/3/2008,36.8471,-121.7545,24.37000084,35.88,0.095,NA,0.094,4,6,2008,1,Azevedo Pond
APN,Upper Slough,7/1/2008,36.8471,-121.7545,23.93000031,35.81,0.0395,NA,0.08,4,7,2008,1,Azevedo Pond
APN,Upper Slough,9/9/2008,36.8471,-121.7545,20.12999916,33.7,0.0475,NA,0.0425,4,9,2008,1,Azevedo Pond
APN,Upper Slough,10/14/2008,36.8471,-121.7545,20.70999908,37.78,0.0205,NA,0.0435,4,10,2008,1,Azevedo Pond
APN,Upper Slough,11/11/2008,36.8471,-121.7545,18.27000046,34.00333333,0.039,NA,0.045,4,11,2008,0,Azevedo Pond
APN,Upper Slough,12/9/2008,36.8471,-121.7545,13.51666705,33.38333333,0.014,NA,0.034,4,12,2008,0,Azevedo Pond
APN,Upper Slough,1/6/2009,36.8471,-121.7545,12.0666666,32,0.0395,NA,0.041,4,1,2009,0,Azevedo Pond
APN,Upper Slough,2/3/2009,36.8471,-121.7545,13.19999981,32.9825,0.1075,NA,0.0785,4,2,2009,0,Azevedo Pond
APN,Upper Slough,3/9/2009,36.8471,-121.7545,18.97333272,25.18666667,0.053,NA,0.047,4,3,2009,0,Azevedo Pond
APN,Upper Slough,5/5/2009,36.8471,-121.7545,25.88333257,32.95666667,0.051,NA,0.0935,4,5,2009,1,Azevedo Pond
APN,Upper Slough,6/2/2009,36.8471,-121.7545,19.70999972,37.9,0.042,NA,0.0555,4,6,2009,1,Azevedo Pond
APN,Upper Slough,7/7/2009,36.8471,-121.7545,30.47333336,31.42333333,0.0525,NA,0.0835,4,7,2009,1,Azevedo Pond
APN,Upper Slough,9/1/2009,36.8471,-121.7545,27.61800079,26.52,0.036,NA,0.0705,4,9,2009,1,Azevedo Pond
APN,Upper Slough,10/5/2009,36.8471,-121.7545,19.60000038,35,0.0145,NA,0.039,4,10,2009,1,Azevedo Pond
APN,Upper Slough,1/12/2010,36.8471,-121.7545,12.94999981,19.02666667,0.0177926,NA,0.0523393,4,1,2010,0,Azevedo Pond
APN,Upper Slough,2/2/2010,36.8471,-121.7545,14.77333355,28.25333333,0.086453086,NA,0.050589495,4,2,2010,0,Azevedo Pond
APN,Upper Slough,3/9/2010,36.8471,-121.7545,13.3733333,19.03333333,0.15944637,NA,0.18848342,4,3,2010,0,Azevedo Pond
APN,Upper Slough,4/6/2010,36.8471,-121.7545,14.7966671,24.25666667,0.031688908,NA,0.17324618,4,4,2010,0,Azevedo Pond
APN,Upper Slough,5/4/2010,36.8471,-121.7545,16.0016667,33.55333333,0.073873283,NA,0.2703681,4,5,2010,1,Azevedo Pond
APN,Upper Slough,6/8/2010,36.8471,-121.7545,20.68000031,40.63666667,0.139890981,NA,0.9492305,4,6,2010,1,Azevedo Pond
APN,Upper Slough,7/6/2010,36.8471,-121.7545,16.37666702,37.88,0.001,NA,0.89280316,4,7,2010,1,Azevedo Pond
APN,Upper Slough,8/10/2010,36.8471,-121.7545,21.67333285,32.43333333,0.046722297,NA,0.076842764,4,8,2010,1,Azevedo Pond
APN,Upper Slough,9/7/2010,36.8471,-121.7545,19.54749966,37.3025,0.039077303,NA,0.070977046,4,9,2010,1,Azevedo Pond
APN,Upper Slough,10/5/2010,36.8471,-121.7545,20.82000033,34,0.035046426,NA,0.059081469,4,10,2010,1,Azevedo Pond
APN,Upper Slough,11/2/2010,36.8471,-121.7545,18.81333288,33.92,0.05571819,NA,0.045162777,4,11,2010,0,Azevedo Pond
APN,Upper Slough,12/14/2010,36.8471,-121.7545,13.18666649,32.75666667,0.097723302,NA,0.040375589,4,12,2010,0,Azevedo Pond
APN,Upper Slough,1/11/2011,36.8471,-121.7545,8.223333359,28.29666667,0.271996092,NA,0.086421785,4,1,2011,0,Azevedo Pond
